ID,LAT,LON
274,32.25933000,-90.13383000
330,35.59402000,-80.86008000
214,43.13167000,-89.30283000
418,41.10860000,-81.19520000
637,32.00937200,-102.15623800
700,33.53790600,-84.57751100
471,34.43890000,-85.75000000
556,37.15036000,-84.11228000
247,36.03261400,-80.38613100
534,27.93764000,-82.26227000
190,28.81333000,-81.33433000
239,38.58117000,-77.32517000
698,38.18711200,-83.47623500
251,28.00367000,-82.30350000
102,35.04250000,-85.15600000
300,40.21700000,-79.60683000
347,35.30614000,-93.13858000
441,40.18201000,-80.23122000
592,37.63950000,-77.56958200
54,31.21883000,-81.52083000
218,42.99333000,-82.45483000
113,41.73100000,-85.97350000
456,31.96036000,-83.75264000
530,35.96137000,-86.81602000
85,39.87667000,-83.05317000
457,35.80723000,-90.67341000
60,37.13894900,-80.35363300
147,39.71533300,-89.64109200
520,28.46856000,-81.30991000
589,30.48000000,-81.65000000
625,35.65794500,-80.46241000
152,30.42800000,-91.06667000
493,38.68321000,-84.60323000
240,26.75850000,-80.09400000
326,31.85069000,-86.64072000
433,31.34816000,-92.51941000
208,42.52889000,-82.90886000
336,38.41744000,-82.26058000
604,36.08262000,-80.11107000
613,33.68825800,-85.15439000
730,33.51439100,-88.42702700
318,41.23839000,-73.02257000
355,38.07831100,-83.95237900
482,40.46901000,-78.40811000
558,33.14397000,-86.74768000
32,33.65483000,-84.00550000
89,30.68000000,-83.22350000
231,32.64700000,-85.35767000
314,41.08907000,-111.99076000
488,28.82735000,-81.80381000
736,45.49073200,-122.79345000
10,37.77967000,-84.32630000
112,35.78296200,-80.25867100
197,32.83350000,-96.63350000
449,40.10026000,-75.29436000
759,44.10262000,-121.29881000
38,33.57850000,-84.34200000
122,42.37883000,-87.94217000
136,42.26783000,-84.45200000
199,39.93433000,-76.68150000
434,39.60091400,-77.73076400
675,35.44680400,-79.13089100
545,25.44975200,-80.47704700
696,41.24268000,-76.83333000
29,34.99050000,-85.20867000
51,34.20650000,-86.87750000
125,40.48367000,-89.02500000
128,38.13100000,-79.03867000
201,30.52200000,-87.31500000
271,35.00417000,-78.81750000
352,30.50447000,-90.50358000
498,28.07977000,-82.42530000
523,32.53205000,-84.97023000
273,32.48690000,-86.41805000
323,40.69696000,-111.95111000
609,32.96736300,-97.03683400
151,28.33189800,-81.49920500
193,38.41405000,-81.79661000
280,39.45767000,-77.98800000
459,34.24710000,-77.86710000
142,35.80917000,-80.86983000
184,37.11450000,-76.49233000
272,33.17117000,-87.48033000
524,28.95466000,-81.96026000
94,30.68600800,-88.12571200
348,37.79320000,-81.21757000
500,27.24568000,-80.27320000
566,33.70620000,-78.92200000
717,35.08253400,-78.95407400
209,40.62933000,-89.46250000
391,40.18085000,-89.38554000
529,28.33206000,-81.60849000
131,39.29466900,-84.31292800
364,29.25700000,-81.11610000
396,33.99450000,-86.09450000
84,41.50500000,-87.32267000
542,38.68435000,-85.78644000
677,36.81619200,-76.06722800
108,35.50817000,-78.31563000
224,40.68667000,-82.51167000
467,34.46497000,-93.05964000
538,43.62315000,-83.94110000
70,33.33689200,-86.78237300
107,36.05650000,-79.89183000
205,32.82517000,-97.31133000
553,39.26776000,-84.43807000
